country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dominica,8230,8220,7970,8450,8670,8700,9090,9660,10300,10200,10300,10300,10100,10100,10500,10200,10500,9440,9470,10400
Dominican Republic,8290,8370,8620,8380,8480,9150,9860,10500,10700,10600,11400,11600,11800,12200,13000,13700,14500,15000,15800,16400
Ecuador,7360,7510,7690,7760,8260,8550,8780,8820,9230,9130,9310,9880,10300,10600,10900,10700,10400,10500,10400,10200
Egypt,7500,7620,7660,7760,7930,8140,8540,8990,9460,9720,10000,9980,9980,9970,10000,10200,10500,10700,11000,11400
El Salvador,5610,5620,5680,5740,5760,5890,6120,6200,6310,6150,6280,6490,6650,6760,6850,6980,7120,7250,7390,7510
Equatorial Guinea,11300,17700,20200,21900,28600,31700,32600,35900,40400,39100,34000,34600,35900,33000,31700,27700,24300,22300,20900,19200
Eritrea,2490,2610,2570,2390,2320,2290,2190,2170,1910,1950,1960,2100,1180,1160,1200,1240,1240,1250,1370,1390
Estonia,15700,16800,17900,19400,20700,22800,25300,27400,26000,22200,22700,24500,25700,26300,27100,27600,28600,29900,31000,32000
Eswatini,6170,6180,6420,6640,6860,7240,7630,7920,7930,8000,8240,8370,8710,9200,9310,9270,9480,9570,9530,9560
Ethiopia,621,654,645,613,677,736,794,860,928,982,1080,1160,1230,1320,1410,1520,1620,1720,1790,1900
Fiji,6680,6790,6990,7050,7410,7430,7510,7370,7370,7190,7350,7520,7610,7970,8410,8780,8970,9380,9780,9990
Finland,34900,35700,36200,36900,38200,39100,40500,42500,42600,38900,39800,40700,39900,39400,39000,39100,40100,41000,41900,42400
France,34700,35100,35300,35300,36100,36400,37000,37700,37600,36300,36800,37400,37400,37400,37600,37800,38100,39000,39600,40000
Gabon,17800,17800,17300,17300,17000,17000,16000,16500,15500,15000,15500,16000,16200,16500,16600,16700,16500,16100,15900,16200
Gambia,1450,1490,1390,1440,1490,1430,1410,1420,1450,1500,1550,1440,1480,1500,1440,1480,1440,1470,1520,1570
Georgia,3530,3760,4000,4470,4760,5250,5770,6530,6710,6520,6980,7550,8080,8380,8770,9010,9260,9700,10200,10700
Germany,36800,37300,37300,37000,37400,37700,39100,40500,41000,38800,40400,42700,42800,42900,43700,44000,44700,45500,46000,46200
Ghana,2220,2250,2300,2360,2430,2510,2600,2650,2810,2880,3030,3370,3600,3770,3790,3790,3830,4050,4210,4430
Greece,24800,25700,26600,28100,29500,29600,31100,32100,31900,30400,28700,26100,24400,23700,24100,24100,24200,24600,25100,25700
Grenada,9540,9310,9590,10500,10400,11700,11200,11900,11900,11100,11000,11000,10800,11000,11800,12400,12800,13400,14000,14300
Guatemala,6070,6070,6160,6170,6210,6270,6460,6710,6780,6670,6710,6850,6900,7010,7150,7290,7370,7420,7510,7610
Guinea,1520,1540,1590,1580,1580,1600,1580,1650,1680,1630,1670,1720,1780,1810,1840,1860,2010,2210,2340,2420
Guinea-Bissau,1410,1410,1370,1340,1350,1370,1370,1380,1390,1400,1430,1510,1440,1450,1430,1470,1530,1580,1600,1630
Guyana,4620,4730,4790,4760,4830,4730,4970,5320,5420,5610,5830,6110,6400,6690,6910,7090,7290,7400,7620,7930
Haiti,1760,1710,1680,1660,1570,1570,1580,1610,1600,1620,1510,1570,1590,1630,1660,1650,1660,1650,1660,1640
Honduras,3300,3300,3340,3410,3530,3660,3810,3950,4030,3850,3910,3980,4070,4110,4160,4250,4340,4470,4560,4630
Hungary,18000,18700,19600,20400,21500,22500,23400,23500,23700,22200,22400,22800,22600,23100,24200,25100,25700,26900,28200,29600
Iceland,35000,35800,35800,36300,38900,40700,41800,44600,44700,41500,40100,40800,41100,42400,42800,44200,46800,47800,48600,47900
India,2710,2790,2850,3020,3210,3410,3630,3850,3910,4160,4450,4630,4820,5070,5380,5740,6150,6520,6900,7230
Indonesia,5810,5940,6120,6330,6560,6840,7120,7470,7820,8070,8460,8860,9270,9650,10000,10400,10700,11200,11600,12100
Iran,13200,13200,14000,15000,15500,15800,16400,17500,17400,17300,18100,18400,16800,16600,17100,16700,18700,19100,18000,16100
Iraq,12200,12100,11000,7130,10700,10900,11800,11800,12500,12700,13200,13700,15000,15600,15100,15000,16500,15800,15600,15700
Ireland,39400,40800,42500,43100,45100,46600,47600,48700,45700,42900,43500,44900,44800,45200,48800,60500,62800,66600,70400,72400
